date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:36:55	24355/24355	---M--	200	added ('OK')	image/jpeg	date:Sat,%2019%20Nov%202016%209:08:15%20GMT	https://images.bigcartel.com/product_images/185011701/IMG_7132b.jpg?auto=format&fit=max&w=560	C:/My%20Web%20Sites/moonfiber.bigcartel.com/images.bigcartel.com/product_images/185011701/IMG_7132b1ed4.jpg	(from http://moonfiber.bigcartel.com/)
09:36:56	1515/1515	---M--	200	added ('OK')	image/png	etag:%223ecba592137c0a095d6d9eeffbf1f259%22	http://cache0.bigcartel.com/theme_assets/6/1.4.2/images/remove_item_2x.png	C:/My%20Web%20Sites/moonfiber.bigcartel.com/cache0.bigcartel.com/theme_assets/6/1.4.2/images/remove_item_2x.png	(from http://storefront-stylesheets.bigcartel.com/theme_stylesheets/80121985/1482099664/theme.css)
09:36:56	2972/2972	---M--	200	added ('OK')	image/png	etag:%22c0329dbbfa4e969900371a067c1cb8d6%22	http://cache1.bigcartel.com/theme_assets/6/1.4.2/images/slideshow_arrows.png	C:/My%20Web%20Sites/moonfiber.bigcartel.com/cache1.bigcartel.com/theme_assets/6/1.4.2/images/slideshow_arrows.png	(from http://storefront-stylesheets.bigcartel.com/theme_stylesheets/80121985/1482099664/theme.css)
09:36:57	1/1	---MC-	404	error ('Not%20Found')	image/gif	etag:%2230da4c4a9a3949370631f78ff4ff0081%22	http://moonfiber.bigcartel.com/log_stats.gif	C:/My%20Web%20Sites/moonfiber.bigcartel.com/moonfiber.bigcartel.com/log_stats.1a.delayed	(from http://moonfiber.bigcartel.com/stats.min.js)
09:36:57	53627/53627	---M--	200	added ('OK')	image/jpeg	date:Tue,%2015%20Nov%202016%2016:37:16%20GMT	https://images.bigcartel.com/product_images/185007600/group.jpg?auto=format&fit=max&w=560	C:/My%20Web%20Sites/moonfiber.bigcartel.com/images.bigcartel.com/product_images/185007600/group1ed4.jpg	(from http://moonfiber.bigcartel.com/)
09:36:58	1/1	---MC-	404	error ('Not%20Found')	image/gif	etag:%22de7b152510faf22a33a384736f9980b2%22	http://moonfiber.bigcartel.com/log_product_view.gif	C:/My%20Web%20Sites/moonfiber.bigcartel.com/moonfiber.bigcartel.com/log_product_view.gif	(from http://moonfiber.bigcartel.com/stats.min.js)
09:36:58	10484/10484	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202016%2007:36:53%20GMT	http://moonfiber.bigcartel.com/category/dry-frizzy-hair	C:/My%20Web%20Sites/moonfiber.bigcartel.com/moonfiber.bigcartel.com/category/dry-frizzy-hair.html	(from http://moonfiber.bigcartel.com/products)
09:36:59	11769/11769	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202016%2007:36:53%20GMT	http://moonfiber.bigcartel.com/category/need-more-volume	C:/My%20Web%20Sites/moonfiber.bigcartel.com/moonfiber.bigcartel.com/category/need-more-volume.html	(from http://moonfiber.bigcartel.com/products)
09:36:59	8514/8514	---MCZ	200	added ('OK')	text/html	date:Wed,%2028%20Dec%202016%2007:36:54%20GMT	http://moonfiber.bigcartel.com/category/complete-kit	C:/My%20Web%20Sites/moonfiber.bigcartel.com/moonfiber.bigcartel.com/category/complete-kit.html	(from http://moonfiber.bigcartel.com/products)
09:37:00	1255/1255	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2028%20Dec%202016%2007:36:54%20GMT	http://moonfiber.bigcartel.com/product/total-lunar-eclipse-kit-save-20<br%20/>	C:/My%20Web%20Sites/moonfiber.bigcartel.com/moonfiber.bigcartel.com/product/total-lunar-eclipse-kit-save-20_br/_	(from http://moonfiber.bigcartel.com/faqs)
